Keyword,URL,Search Intents,SERP Features,Search Volume,Keyword Difficulty,CPC,Position,Organic Traffic,Competition,Competition Level,Results,SERP Updated At,Backlinks,Dofollow,Referring Domains,Referring Main Domains,Referring Pages,Avg Main Domain Rank,Avg Rank,Avg Referring Domains,Avg Referring Main Domains,Avg Backlinks,Avg Dofollow,Low Top Of Page Bid,High Top Of Page Bid
scarborough tinting,https://h2otint.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches",170,0,3.20,4,11,0.82,HIGH,358000,2025-10-16 00:45:10 +00:00,,,,,,156.90,86.20,42.80,41.10,77.70,48.60,0.78,2.68
tint scarborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_search,related_searches,images",170,6,3.20,4,11,0.82,HIGH,550000,2025-11-25 16:31:01 +00:00,,,,,,176.80,119.90,56.10,53.00,136.60,102.40,0.78,2.68
tint windows scarborough,https://h2otint.ca/,commercial,"local_pack,people_also_ask,people_also_search,related_searches",260,9,2.62,5,12,0.87,HIGH,71300,2025-11-09 03:39:26 +00:00,,,,,,159.90,130.10,56.20,53.10,136.70,102.50,0.89,3.10
tinting scarborough,https://h2otint.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches",170,3,3.20,5,7,0.82,HIGH,665000,2025-11-12 05:53:41 +00:00,,,,,,97.60,115.30,56.10,53.00,136.60,102.40,0.78,2.68
car window tinting scarborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches",210,4,4.01,7,5,0.75,HIGH,123000,2025-12-17 06:32:46 +00:00,,,,,,160.20,113.50,48.40,45.40,124.10,78.20,0.79,2.49
window tint scarborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches",260,3,2.62,8,5,0.87,HIGH,247000,2025-11-22 23:58:02 +00:00,,,,,,172.40,109.20,48.00,45.10,124.60,96.40,0.89,3.10
car tint scarborough,https://h2otint.ca/,commercial,"local_pack,people_also_ask,people_also_search,related_searches",210,0,4.01,8,4,0.75,HIGH,294000,2025-12-17 06:32:51 +00:00,,,,,,169.50,82.10,31.30,30.00,67.90,38.10,0.79,2.49
auto tinting scarborough,https://h2otint.ca/,"navigational,commercial","local_pack,people_also_search,people_also_ask,related_searches",260,1,2.92,9,3,0.88,HIGH,116000,2025-11-24 15:11:07 +00:00,,,,,,174.40,97.60,43.80,41.90,83.70,48.90,0.83,3.05
car tinting scarborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_search,related_searches,images",210,4,4.01,9,3,0.75,HIGH,166000,2025-12-17 06:32:47 +00:00,,,,,,182.00,110.30,41.60,39.10,105.20,74.90,0.79,2.49
auto tint scarborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",260,8,2.62,13,1,0.87,HIGH,186000,2025-11-12 04:12:07 +00:00,,,,,,185.80,128.40,65.20,61.70,154.60,108.70,0.89,3.10
window tints cheap,https://h2otint.ca/,"commercial,transactional","local_pack,people_also_ask,discussions_and_forums,popular_products,video,related_searches",110,0,3.03,27,0,0.90,HIGH,7840000,2025-11-28 01:50:10 +00:00,,,,,,374.10,60.90,35.50,34.20,68.10,47.00,0.82,3.09
insta tints scarborough,https://h2otint.ca/contact/,"commercial,navigational","people_also_ask,related_searches,google_reviews,knowledge_graph,images",210,0,4.39,35,0,0.28,LOW,5050,2025-11-29 16:28:04 +00:00,,,,,,584.10,15.50,0.10,0.10,0.10,0.10,0.87,3.30
tinting gta scarborough,https://h2otint.ca/,"commercial,informational,navigational","people_also_search,people_also_ask,related_searches,google_reviews,knowledge_graph,images",210,3,4.53,39,0,0.04,LOW,34800,2025-11-24 18:37:21 +00:00,,,,,,327.00,92.40,35.70,33.90,78.30,44.50,,
peterborough window tinting,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",210,0,1.48,42,0,0.56,MEDIUM,238000,2025-10-15 04:57:04 +00:00,,,,,,441.30,22.60,0.60,0.60,1.00,0.80,0.84,2.21
custom tint peterborough,https://h2otint.ca/,"commercial,navigational","people_also_ask,related_searches,knowledge_graph,google_reviews",140,0,4.62,45,0,0.06,LOW,121000,2025-10-17 23:28:39 +00:00,,,,,,537.80,7.80,0.10,0.10,0.10,0.10,1.25,5.87
window tints peterborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",210,0,1.48,46,0,0.56,MEDIUM,25000,2025-11-01 18:44:01 +00:00,,,,,,541.50,28.50,1.30,1.30,1.70,1.30,0.84,2.21
window tinting peterborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",210,0,1.97,49,0,0.40,MEDIUM,246000,2025-12-16 23:40:14 +00:00,,,,,,467.00,31.60,3.70,3.70,5.10,3.50,0.71,3.02
window tinting for cheap,https://h2otint.ca/,transactional,"local_pack,people_also_ask,popular_products,people_also_search,related_searches",110,0,3.03,49,0,0.90,HIGH,16700000,2025-11-28 02:01:29 +00:00,,,,,,412.00,11.00,1.20,1.10,2.40,1.60,0.82,3.09
window tint peterborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",210,0,1.48,52,0,0.56,MEDIUM,156000,2025-12-16 23:40:13 +00:00,,,,,,561.40,28.40,0.70,0.70,1.70,1.30,0.84,2.21
car tinting peterborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_search,people_also_ask,related_searches",210,0,1.48,54,0,0.56,MEDIUM,245000,2025-11-01 19:52:42 +00:00,,,,,,641.50,28.50,1.30,1.30,1.70,1.30,0.84,2.21
hi-tech tinting,https://h2otint.ca/,"navigational,commercial","people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph,images",70,0,2.47,55,0,0.22,LOW,3960000,2025-11-17 01:03:49 +00:00,,,,,,565.70,29.10,10.80,10.60,15.30,11.60,1.07,2.27
cheap tinting windows,https://h2otint.ca/,"transactional,commercial","local_pack,people_also_ask,popular_products,video,related_searches",110,0,3.03,57,0,0.90,HIGH,7780000,2025-11-30 07:41:37 +00:00,,,,,,419.40,55.10,24.10,22.80,58.50,41.70,0.82,3.09
peterborough window tint,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,popular_products,related_searches,images",210,0,1.48,61,0,0.56,MEDIUM,157000,2025-11-01 18:56:38 +00:00,,,,,,441.50,28.50,1.30,1.30,1.70,1.30,0.84,2.21
window tint lindsay,https://h2otint.ca/,"commercial,navigational","people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph",40,0,2.01,70,0,0.23,LOW,485000,2025-10-24 18:11:14 +00:00,,,,,,586.50,41.60,12.30,12.00,13.60,9.10,0.73,1.76
window tinting kingston,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",140,0,2.37,71,0,0.73,HIGH,1250000,2025-12-19 09:18:38 +00:00,,,,,,197.90,85.20,11.50,11.20,15.40,10.50,1.02,4.76
window tinting in peterborough,https://h2otint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",210,0,1.48,74,0,0.56,MEDIUM,396000,2025-11-01 18:44:30 +00:00,,,,,,441.50,28.50,1.30,1.30,1.70,1.30,0.84,2.21
commercial window tinting,https://h2otint.ca/commercial-window-tinting-scarborough/,"navigational,transactional,commercial","local_pack,people_also_ask,popular_products,related_searches",170,0,7.58,92,0,0.91,HIGH,4560000,2025-11-26 09:58:53 +00:00,,,,,,353.80,65.10,26.00,25.60,33.40,19.20,1.60,9.04
