Keyword,URL,Search Intents,SERP Features,Search Volume,Keyword Difficulty,CPC,Position,Organic Traffic,Competition,Competition Level,Results,SERP Updated At,Backlinks,Dofollow,Referring Domains,Referring Main Domains,Referring Pages,Avg Main Domain Rank,Avg Rank,Avg Referring Domains,Avg Referring Main Domains,Avg Backlinks,Avg Dofollow,Low Top Of Page Bid,High Top Of Page Bid
unique auto tinting & detailing,https://www.uniqueautoinc.ca/,"navigational,commercial","people_also_ask,people_also_search,related_searches,knowledge_graph,google_reviews,third_party_reviews",590,1,2.82,1,179,0.09,LOW,3060000,2025-11-20 06:50:52 +00:00,54.00,29.00,34.00,33.00,44.00,594.20,51.20,3.70,3.60,10.20,7.20,0.59,1.45
unique auto,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",260,2,0.60,1,79,0.61,MEDIUM,1160000000,2025-11-09 03:36:59 +00:00,54.00,29.00,34.00,33.00,44.00,381.70,81.70,12.20,11.60,32.60,23.20,0.07,1.27
unique auto tint,https://www.uniqueautoinc.ca/,transactional,"people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph,people_also_search,images",260,2,3.09,1,79,0.11,LOW,60200000,2025-11-14 06:16:10 +00:00,54.00,29.00,34.00,33.00,44.00,608.90,54.40,3.80,3.70,10.50,7.20,0.99,2.69
unique auto tinting,https://www.uniqueautoinc.ca/,"navigational,commercial","people_also_ask,related_searches,knowledge_graph,google_reviews,third_party_reviews,people_also_search",260,3,3.09,1,79,0.11,LOW,9310000,2025-12-16 17:54:42 +00:00,54.00,29.00,34.00,33.00,44.00,652.50,54.40,3.70,3.60,10.80,7.90,0.99,2.69
car tint scarborough,https://www.uniqueautoinc.ca/,commercial,"local_pack,people_also_ask,people_also_search,related_searches",210,0,4.01,1,63,0.75,HIGH,294000,2025-12-17 06:32:51 +00:00,54.00,29.00,34.00,33.00,44.00,169.50,82.10,31.30,30.00,67.90,38.10,0.79,2.49
car tinting scarborough,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_search,related_searches,images",210,4,4.01,1,63,0.75,HIGH,166000,2025-12-17 06:32:47 +00:00,54.00,29.00,34.00,33.00,44.00,182.00,110.30,41.60,39.10,105.20,74.90,0.79,2.49
unique auto service,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_search,related_searches",170,0,1.54,1,51,0.13,LOW,719000000,2025-12-17 17:29:26 +00:00,54.00,29.00,34.00,33.00,44.00,360.70,63.10,6.50,6.40,13.80,9.40,0.52,1.01
unique auto services,https://www.uniqueautoinc.ca/,navigational,"people_also_search,related_searches,knowledge_graph,google_reviews",170,0,1.54,1,51,0.13,LOW,272000000,2025-11-06 14:42:30 +00:00,54.00,29.00,34.00,33.00,44.00,400.00,26.30,3.50,3.40,5.20,2.40,0.52,1.01
unique auto tinting & detailing reviews,https://www.uniqueautoinc.ca/reviews/,transactional,"ai_overview,related_searches,third_party_reviews,google_reviews,knowledge_graph,people_also_search",140,0,,1,42,0.01,LOW,2570000,2025-11-29 22:40:34 +00:00,,,,,,416.10,56.00,4.00,3.90,11.30,7.50,,
auto tints near me,https://www.uniqueautoinc.ca/,"navigational,transactional","local_pack,people_also_ask,people_also_search,related_searches,images",12100,3,2.93,2,1960,0.50,MEDIUM,6550000,2025-12-08 17:23:15 +00:00,54.00,29.00,34.00,33.00,44.00,159.50,97.90,27.20,26.60,47.80,31.20,0.94,3.38
window tinting automotive near me,https://www.uniqueautoinc.ca/,"navigational,transactional","local_pack,people_also_ask,related_searches",2900,0,2.41,2,469,0.49,MEDIUM,7170000,2025-12-09 23:14:19 +00:00,54.00,29.00,34.00,33.00,44.00,163.40,76.60,31.20,30.50,42.50,25.50,0.84,2.78
car tinting markham,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",390,0,2.71,2,63,0.41,MEDIUM,134000,2025-11-11 16:38:32 +00:00,54.00,29.00,34.00,33.00,44.00,204.20,61.00,18.40,17.70,31.00,13.70,0.75,2.43
ceramic coat price,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"transactional,commercial","ai_overview,people_also_ask,discussions_and_forums,video,popular_products,related_searches,images",390,0,2.91,2,63,0.83,HIGH,35000000,2025-12-13 00:21:23 +00:00,,,,,,319.40,18.10,0.40,0.40,0.50,0.50,0.93,2.93
ceramic coating cost,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"commercial,transactional","ai_overview,people_also_ask,video,popular_products,related_searches,images",390,0,2.73,2,63,0.62,MEDIUM,40000000,2025-12-13 00:21:48 +00:00,,,,,,371.80,7.10,0.30,0.30,0.30,0.30,0.89,2.85
auto tint scarborough,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",260,8,2.62,2,42,0.87,HIGH,186000,2025-11-12 04:12:07 +00:00,54.00,29.00,34.00,33.00,44.00,185.80,128.40,65.20,61.70,154.60,108.70,0.89,3.10
unique autos,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,related_searches,images",260,0,0.60,2,42,0.61,MEDIUM,67000000,2025-11-24 02:24:44 +00:00,54.00,29.00,34.00,33.00,44.00,229.20,41.60,8.40,8.10,11.20,6.80,0.07,1.27
how much does ceramic coating cost,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"commercial,transactional","ai_overview,people_also_ask,video,popular_products,discussions_and_forums,related_searches,images",170,0,2.18,2,27,0.44,MEDIUM,57900000,2025-12-18 07:13:40 +00:00,,,,,,204.60,18.10,0.30,0.30,0.40,0.40,0.77,2.35
tint scarborough,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_search,related_searches,images",170,6,3.20,2,27,0.82,HIGH,550000,2025-11-25 16:31:01 +00:00,54.00,29.00,34.00,33.00,44.00,176.80,119.90,56.10,53.00,136.60,102.40,0.78,2.68
tinting scarborough,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches",170,3,3.20,2,27,0.82,HIGH,665000,2025-11-12 05:53:41 +00:00,54.00,29.00,34.00,33.00,44.00,97.60,115.30,56.10,53.00,136.60,102.40,0.78,2.68
ceramic coating cost car,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"commercial,transactional","people_also_ask,discussions_and_forums,video,popular_products,related_searches,images",140,0,3.75,2,22,0.70,HIGH,23200000,2025-11-27 17:02:41 +00:00,,,,,,218.70,21.50,0.40,0.40,0.50,0.50,0.75,2.52
ceramic coating for cars cost,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"commercial,transactional","people_also_ask,video,popular_products,related_searches,images",140,0,3.75,2,22,0.70,HIGH,58100000,2025-11-27 16:51:33 +00:00,,,,,,220.20,10.80,0.40,0.40,0.40,0.40,0.75,2.52
mobile window tints near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,people_also_search,related_searches,images",140,0,3.22,2,22,0.62,MEDIUM,2180000,2025-11-12 07:11:10 +00:00,54.00,29.00,34.00,33.00,44.00,244.30,63.20,12.30,12.00,19.90,12.40,0.64,2.71
ceramic window tints near me,https://www.uniqueautoinc.ca/,transactional,"ai_overview,local_pack,people_also_ask,people_also_search,related_searches",110,5,2.63,2,17,0.57,MEDIUM,1660000,2025-11-12 16:27:30 +00:00,54.00,29.00,34.00,33.00,44.00,210.10,114.80,49.50,47.70,86.40,61.10,0.72,2.19
