Keyword,URL,Search Intents,SERP Features,Search Volume,Keyword Difficulty,CPC,Position,Organic Traffic,Competition,Competition Level,Results,SERP Updated At,Backlinks,Dofollow,Referring Domains,Referring Main Domains,Referring Pages,Avg Main Domain Rank,Avg Rank,Avg Referring Domains,Avg Referring Main Domains,Avg Backlinks,Avg Dofollow,Low Top Of Page Bid,High Top Of Page Bid
ontario window tint laws 2025,https://mrtint.ca/ontariowindowtintinglaw/,commercial,"ai_overview,people_also_ask,related_searches,images",70,0,,81,0,0.02,LOW,86400,2025-12-02 04:10:05 +00:00,,,,,,301.90,37.70,2.30,2.30,3.00,2.20,,
house tinted windows,https://mrtint.ca/residential-tinting/,"commercial,navigational","people_also_ask,popular_products,local_pack,video,related_searches,images",320,6,2.10,82,0,0.99,HIGH,15700000,2025-11-23 18:47:01 +00:00,,,,,,458.30,91.70,43.30,43.20,97.30,70.60,0.52,4.04
window tint burlington ontario,https://mrtint.ca/pricing/,"commercial,navigational","local_pack,related_searches",170,9,4.51,82,0,0.90,HIGH,263000,2025-11-25 14:00:36 +00:00,3.00,1.00,3.00,3.00,3.00,449.50,107.80,7.30,7.00,1687.00,832.40,1.39,5.59
black tint,https://mrtint.ca/pricing/,"commercial,transactional","popular_products,people_also_ask,images,related_searches,third_party_reviews,google_reviews,knowledge_graph",140,0,1.16,82,0,0.42,MEDIUM,195000000,2025-11-27 19:01:23 +00:00,3.00,1.00,3.00,3.00,3.00,404.80,10.70,0.90,0.70,1.20,1.00,0.73,3.63
window tint milton,https://mrtint.ca/,"commercial,transactional","local_pack,people_also_ask,related_searches,images",90,0,4.82,82,0,0.98,HIGH,734000,2025-12-20 16:12:25 +00:00,409.00,363.00,107.00,94.00,397.00,159.80,2.80,0.10,0.10,0.10,0.10,1.16,3.56
is window tinting legal in ontario,https://mrtint.ca/ontariowindowtintinglaw/,"commercial,navigational,informational","ai_overview,people_also_ask,discussions_and_forums,related_searches",70,0,,82,0,0.00,LOW,99600,2025-12-02 11:59:15 +00:00,,,,,,434.90,31.50,2.10,2.10,2.80,2.00,,
smoked windows,https://mrtint.ca/,commercial,"people_also_ask,related_searches,knowledge_graph,images",50,0,,82,0,0.04,LOW,18100000,2025-10-28 08:48:03 +00:00,409.00,363.00,107.00,94.00,397.00,337.80,49.50,66.30,63.10,170.70,136.60,,
truck tint,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,popular_products,images,video,related_searches",50,0,3.56,82,0,0.91,HIGH,24500000,2025-10-28 22:53:09 +00:00,409.00,363.00,107.00,94.00,397.00,273.50,30.90,16.00,15.80,22.10,8.30,0.89,3.26
windows tint spray,https://mrtint.ca/ontariowindowtintinglaw/,transactional,"video,popular_products,people_also_ask,related_searches,images",50,0,0.70,82,0,1.00,HIGH,4220000,2025-10-01 19:04:19 +00:00,,,,,,573.60,15.40,1.10,1.10,4.40,4.40,0.32,1.04
tints brampton,https://mrtint.ca/,navigational,"local_pack,people_also_ask,related_searches,images",320,0,2.33,83,0,0.80,HIGH,98000,2025-12-13 03:09:32 +00:00,409.00,363.00,107.00,94.00,397.00,224.30,76.90,20.20,19.10,48.10,40.20,0.64,3.14
car tint cambridge,https://mrtint.ca/,"commercial,navigational","people_also_ask,related_searches,google_reviews,knowledge_graph,images",170,0,3.23,83,0,0.87,HIGH,1110000,2025-12-18 12:31:32 +00:00,409.00,363.00,107.00,94.00,397.00,190.30,49.80,28.60,28.20,44.80,36.20,0.74,3.03
auto tinting whitby,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches",140,0,2.02,83,0,0.85,HIGH,201000,2025-11-27 21:02:57 +00:00,409.00,363.00,107.00,94.00,397.00,372.80,25.50,13.50,13.30,21.10,11.30,0.83,1.97
window tinting oakville,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",140,0,4.08,83,0,1.00,HIGH,225000,2025-12-19 09:18:17 +00:00,409.00,363.00,107.00,94.00,397.00,300.80,46.00,9.10,8.90,13.90,9.50,1.49,4.78
car tint supplies,https://mrtint.ca/,"transactional,navigational","local_pack,related_searches,images",90,0,3.06,83,0,1.00,HIGH,14300000,2025-12-15 00:51:28 +00:00,409.00,363.00,107.00,94.00,397.00,328.70,70.50,33.00,32.30,52.60,28.30,0.90,3.09
car tinting milton,https://mrtint.ca/,"commercial,navigational","local_pack,related_searches,images",90,0,4.82,83,0,0.98,HIGH,272000,2025-11-29 04:41:00 +00:00,409.00,363.00,107.00,94.00,397.00,165.70,18.30,5.00,4.80,7.30,5.30,1.16,3.56
car tint mississauga,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches,images",590,0,2.60,84,1,0.58,MEDIUM,374000,2025-11-20 07:06:34 +00:00,409.00,363.00,107.00,94.00,397.00,215.30,82.10,28.90,27.30,69.60,58.60,0.95,3.27
window tint london,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",90,0,2.62,84,0,0.49,MEDIUM,9260000,2025-11-29 00:07:08 +00:00,409.00,363.00,107.00,94.00,397.00,167.30,54.00,20.20,19.40,28.50,15.70,1.01,2.63
